Player,Opponent,Stat Type,Prop Line,Predicted Value,Edge,EV,Optimal Bet
Jaden McDaniels,MIN,assists,1.5,2.15,0.6499999999999999,0.7613157894736841,100.0
Zion Williamson,NOP,points,25.5,25.78,0.28000000000000114,0.05831578947368632,2.172563591363082
Zach LaVine,NOP,points,21.5,24.48,2.9800000000000004,5.188315789473685,48.17329297855503
Zach LaVine,NOP,pts_rebs_asts,30.5,33.06,2.5600000000000023,4.390315789473688,35.56543385480876
CJ McCollum,NOP,points,21.5,22.72,1.2199999999999989,1.844315789473682,9.076030217586212
CJ McCollum,NOP,pts_rebs_asts,29.5,30.98,1.4800000000000004,2.338315789473685,9.775429197154175
Domantas Sabonis,NOP,points,19.5,20.31,0.8099999999999987,1.0653157894736816,9.187840081945538
DeMar DeRozan,NOP,pts_rebs_asts,28.5,30.13,1.629999999999999,2.623315789473682,12.897610177281047
DeMar DeRozan,NOP,assists,2.5,4.56,2.0599999999999996,3.4403157894736833,100.0
Keegan Murray,NOP,points,12.5,14.72,2.2200000000000006,3.744315789473685,45.361665494006324
Keegan Murray,NOP,pts_rebs_asts,19.5,21.9,2.3999999999999986,4.086315789473681,40.04003870403606
Keegan Murray,NOP,rebounds,5.5,6.49,0.9900000000000002,1.4073157894736843,97.44092570060519
LeBron James,LAL,points,25.5,27.61,2.1099999999999994,3.5353157894736826,18.354209840740953
LeBron James,LAL,pts_rebs_asts,40.5,45.03,4.530000000000001,8.133315789473686,28.64188127665806
LeBron James,LAL,assists,7.5,8.79,1.2899999999999991,1.9773157894736824,100.0
Austin Reaves,LAL,points,19.5,22.14,2.6400000000000006,4.542315789473685,15.465729168532762
Austin Reaves,LAL,pts_rebs_asts,28.5,32.72,4.219999999999999,7.544315789473681,21.716755643096377
Austin Reaves,LAL,assists,4.5,5.99,1.4900000000000002,2.3573157894736845,100.0
Rui Hachimura,LAL,points,14.5,14.9,0.40000000000000036,0.28631578947368486,5.555555401234578
Rui Hachimura,LAL,pts_rebs_asts,19.5,21.57,2.0700000000000003,3.4593157894736843,23.7494257973973
Rui Hachimura,LAL,rebounds,4.5,5.34,0.8399999999999999,1.1223157894736837,66.98563524949995
John Collins,LAL,points,17.5,18.32,0.8200000000000003,1.0843157894736848,30.014639091168455
John Collins,LAL,pts_rebs_asts,26.5,28.4,1.8999999999999986,3.1363157894736813,45.238093083900296
Lauri Markkanen,LAL,points,18.5,19.03,0.5300000000000011,0.5333157894736863,9.403832171617047
Lauri Markkanen,LAL,pts_rebs_asts,24.5,27.59,3.09,5.397315789473684,43.301568293117484
Lauri Markkanen,LAL,rebounds,4.5,6.94,2.4400000000000004,4.162315789473684,100.0
Keyonte George,LAL,points,16.5,16.77,0.2699999999999996,0.039315789473683305,11.268780361537514
Jordan Clarkson,LAL,points,17.5,18.41,0.9100000000000001,1.2553157894736842,12.68115906685733
Jordan Clarkson,LAL,rebounds,2.5,3.09,0.5899999999999999,0.647315789473684,100.0
Walker Kessler,LAL,pts_rebs_asts,25.5,26.0,0.5,0.47631578947368414,8.267195493809673
Walker Kessler,LAL,rebounds,11.5,12.53,1.0299999999999994,1.483315789473683,43.60710892403817
Draymond Green,GSW,assists,5.5,6.04,0.54,0.5523157894736842,33.3745323393656
Klay Thompson,GSW,points,14.5,17.27,2.7699999999999996,4.789315789473683,22.52765090228284
Klay Thompson,GSW,pts_rebs_asts,20.5,23.22,2.719999999999999,4.6943157894736816,20.472677698740352
Jimmy Butler,GSW,points,19.5,19.84,0.33999999999999986,0.17231578947368387,4.779308271596617
Brandin Podziemski,GSW,assists,3.5,4.26,0.7599999999999998,0.9703157894736837,89.20185699486923
