SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400306,2024-12-01,IND @ MEM,L,36.89333333333333,3,10,0.3,2,9,0.222,0,0,0.0,1,1,2,7,2,1,0,0,0,0,8,-6,21.9,0,0,21.0,1,33,33,33,13,45,44,45,31,12,39,39,39,39,6,42,36,39,14,23,26,1,1,41,48,36,49,17,1,49,1,36:54
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400045,2024-11-29,IND vs. DET,L,29.866666666666667,8,13,0.615,3,8,0.375,0,0,0.0,0,1,1,5,2,0,0,0,0,2,19,-23,25.7,0,0,28.0,1,33,33,33,48,13,30,7,24,25,28,39,39,39,26,42,48,47,14,40,26,1,1,25,21,49,46,17,1,42,1,29:52
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400288,2024-11-27,IND vs. POR,W,38.85,8,15,0.533,5,10,0.5,7,7,1.0,2,5,7,10,3,2,0,0,2,4,28,17,54.4,1,0,54.0,1,1,1,1,4,13,19,14,5,7,6,4,5,1,3,7,2,14,6,9,26,1,35,7,9,7,7,1,1,5,1,38:51
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400279,2024-11-25,IND vs. NOP,W,35.57666666666667,12,23,0.522,9,18,0.5,1,1,1.0,0,3,3,13,2,3,0,0,1,2,34,16,64.1,1,0,65.0,1,1,1,1,18,2,1,17,1,1,6,29,32,1,26,22,26,3,14,3,26,1,13,25,2,8,2,1,1,1,1,35:35
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400272,2024-11-24,IND vs. WAS,W,34.295,7,18,0.389,5,11,0.455,2,2,1.0,3,1,4,9,3,2,0,0,3,4,21,12,42.3,0,0,43.0,1,1,1,1,29,19,7,37,5,5,15,21,23,1,1,42,16,18,6,9,26,1,48,7,18,17,27,17,1,18,1,34:18
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400029,2024-11-22,IND @ MIL,L,33.88,6,14,0.429,4,10,0.4,2,2,1.0,0,1,1,9,1,0,0,1,0,1,18,-18,31.7,0,0,32.0,1,33,33,33,34,26,25,29,9,7,26,21,23,1,26,42,48,18,29,40,26,40,1,36,25,45,38,17,1,38,1,33:53
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400254,2024-11-20,IND @ HOU,L,30.006666666666668,1,7,0.143,1,5,0.2,1,1,1.0,0,1,1,8,2,0,1,0,1,0,4,-28,18.2,0,0,16.0,1,33,33,33,47,51,51,52,42,46,41,29,32,1,26,42,48,26,14,40,10,1,13,41,50,54,51,17,1,50,1,30:00
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400247,2024-11-18,IND @ TOR,L,38.81333333333333,5,18,0.278,2,9,0.222,4,4,1.0,2,1,3,4,1,5,2,0,4,3,16,-15,45.6,0,0,39.0,1,33,33,33,5,34,7,46,31,12,39,15,18,1,3,42,26,50,29,1,2,1,52,15,33,44,18,17,1,24,1,38:49
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400235,2024-11-17,IND vs. MIA,W,37.666666666666664,4,13,0.308,3,8,0.375,5,5,1.0,1,2,3,13,0,0,2,0,2,2,16,19,45.1,1,0,39.0,1,1,1,1,9,41,30,44,24,25,28,12,15,1,6,30,26,3,49,40,2,1,35,25,33,5,19,1,1,24,1,37:40
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400009,2024-11-15,IND vs. MIA,L,28.65,7,14,0.5,4,9,0.444,0,0,0.0,1,1,2,8,1,1,0,0,1,0,18,-25,34.4,0,0,34.0,1,33,33,33,50,19,25,19,9,12,16,39,39,39,6,42,36,26,29,23,26,1,13,41,25,52,35,17,1,35,1,28:39
