Player,Stat Type,Prop Line,EV,Probability_Hit,Bet Direction
andrew nembhard,Points,12.5,1.0706205266110365,0.6902068422036788,Under
andrew nembhard,Pts + Rebs + Asts,20.5,1.971244159539758,0.990414719846586,Under
andrew nembhard,Rebounds,3.5,1.0875809298646868,0.6606268765394578,Under
andrew nembhard,1Q Points,4.5,1.3514496986244846,0.8338474108597463,Over
corey kispert,Pts + Rebs + Asts,17.5,1.9081798590928138,0.9693932863642712,Under
corey kispert,Rebounds,3.5,0.936067903234147,0.6368644418533378,Under
corey kispert,Assists,1.5,0.566600559599201,0.522200186533067,Over
bennedict mathurin,Points,15.5,0.5689141247664702,0.5229713749221567,Over
bennedict mathurin,Pts + Rebs + Asts,22.5,1.913611465486316,0.9712038218287721,Under
bennedict mathurin,Rebounds,4.5,0.5888555584193056,0.5441286158970224,Over
bennedict mathurin,Assists,1.5,0.6855148871410924,0.5772311257332509,Over
bilal coulibaly,Pts + Rebs + Asts,23.5,1.9799962311833093,0.993332077061103,Under
bilal coulibaly,1Q Points,2.5,1.795870370984769,0.9107069612328237,Over
thomas bryant,Points,12.5,1.2695577243780394,0.7565192414593465,Under
thomas bryant,Pts + Rebs + Asts,25.5,1.9944701682003314,0.9981567227334438,Under
thomas bryant,Assists,3.5,1.9674723190983938,0.9891574396994646,Under
thomas bryant,Rebounds,9.5,1.7642845634891033,0.9214281878297012,Under
tristan vukcevic,Points,7.5,0.910439454086892,0.6368131513622973,Under
tristan vukcevic,Pts + Rebs + Asts,13.5,1.8453265224875128,0.9484421741625043,Under
tristan vukcevic,Rebounds,3.5,0.9754037817607852,0.6331422377438414,Under
tristan vukcevic,Assists,1.5,0.9350833857056827,0.6672701330019596,Under
kyshawn george,Points,12.5,1.3847343746171978,0.7949114582057326,Under
kyshawn george,Pts + Rebs + Asts,20.5,1.9873987205535517,0.9957995735178505,Under
kyshawn george,Rebounds,4.5,0.9959591157834224,0.6653197052611408,Under
kyshawn george,1Q Points,4.5,1.1832598117350543,0.7277532705783515,Over
pascal siakam,Points,22.5,0.6548716784819039,0.5516238928273013,Under
pascal siakam,Pts + Rebs + Asts,33.5,1.993198370874279,0.9977327902914264,Under
pascal siakam,1Q Points,4.5,2.0489328592671,0.9931377391749511,Over
jordan poole,Points,22.5,1.0390970615985458,0.6796990205328486,Under
jordan poole,Pts + Rebs + Asts,32.5,1.9806038756346944,0.9935346252115648,Under
jordan poole,Assists,5.5,1.1850899014709335,0.698111789607327,Under
jordan poole,Rebounds,4.5,1.415861437044615,0.8217215772260595,Under
aaron nesmith,Points,7.5,0.8260534973960868,0.6086844991320289,Over
aaron nesmith,Pts + Rebs + Asts,14.5,1.7304963361353445,0.931910012332882,Under
aaron nesmith,Assists,2.5,1.593851842689621,0.8646172808965403,Under
aaron nesmith,Rebounds,3.5,0.5303250839677277,0.522295250500931,Under
malcolm brogdon,Points,10.5,1.3006458939365935,0.7668819646455312,Over
malcolm brogdon,Pts + Rebs + Asts,18.5,1.6743844623531727,0.8914614874510576,Under
malcolm brogdon,Rebounds,3.5,0.9909825123111334,0.6320579404162329,Over
malcolm brogdon,Assists,3.5,0.9825572107114359,0.683640417486702,Over
bub carrington,Points,14.5,1.5228135415699806,0.8580998440714219,Under
bub carrington,Pts + Rebs + Asts,25.5,1.9981863499546249,0.999395449984875,Under
bub carrington,Rebounds,5.5,1.2576142191551785,0.7525380730517262,Under
t.j. mcconnell,Points,7.5,0.7933128405665324,0.6162587080984647,Over
t.j. mcconnell,Pts + Rebs + Asts,15.5,1.8265860893745842,0.9421953631248614,Under
t.j. mcconnell,Rebounds,2.5,0.7069360449985308,0.5689786816661769,Over
t.j. mcconnell,Assists,4.5,0.7248142430547142,0.5749380810182381,Over
obi toppin,Points,10.5,0.7890256015502153,0.5963418671834051,Under
obi toppin,Pts + Rebs + Asts,17.5,1.9197312074280286,0.9732437358093429,Under
obi toppin,Assists,1.5,0.6193145756717058,0.5583843364385193,Under
obi toppin,Rebounds,4.5,0.960648153287833,0.6535493844292777,Under
ben sheppard,Points,6.5,0.8518330970333186,0.6172776990111062,Under
ben sheppard,Pts + Rebs + Asts,10.5,1.8444191088489583,0.9481397029496528,Under
ben sheppard,Assists,1.5,0.7177124096604499,0.6201127832709206,Under
jalen brunson,Points,27.5,1.0653143393198992,0.688438113106633,Under
jalen brunson,Pts + Rebs + Asts,38.5,1.9771974551625826,0.9923991517208609,Under
jalen brunson,Rebounds,2.5,0.8797548368331598,0.6459638614546941,Over
