Player,Stat Type,Prop Team,Home vs. Away,Expected Value,Prop Line,Probability Over,Probability Under,Max Probability
Devin Vassell,assists,NOP,1,2.657579467393342,1.5,0.6464050802689415,0.3535949197310585,0.6464050802689415
Harrison Barnes,points,NOP,1,10.663786463938921,12.5,0.35452725489311776,0.6454727451068822,0.6454727451068822
Kyrie Irving,points,GSW,1,25.77491796424816,27.5,0.35561754973637116,0.6443824502636288,0.6443824502636288
Alperen Sengun,points,UTA,1,18.43263329936813,19.5,0.35954744299165475,0.6404525570083452,0.6404525570083452
Aaron Gordon,assists,LAL,0,3.115627904276381,3.5,0.36129370067083855,0.6387062993291615,0.6387062993291615
Tobias Harris,rebounds,ATL,1,5.140145145197874,5.5,0.3632916011123801,0.6367083988876199,0.6367083988876199
Gabe Vincent,assists,DEN,1,1.0563351245278487,1.5,0.36330608060903236,0.6366939193909676,0.6366939193909676
Stephen Curry,rebounds,DAL,0,4.44101312180524,4.5,0.364017700214856,0.635982299785144,0.635982299785144
Jarred Vanderbilt,rebounds,DEN,1,4.8816605215325,3.5,0.6345446559433259,0.3654553440566741,0.6345446559433259
Amen Thompson,rebounds,UTA,1,8.181776951872788,8.5,0.36653776556758266,0.6334622344324173,0.6334622344324173
Jrue Holiday,points,NYK,0,9.023639173296614,8.5,0.6323486005896528,0.36765139941034713,0.6323486005896528
Ziaire Williams,rebounds,PHI,1,4.398059727517175,4.5,0.37130670581620095,0.628693294183799,0.628693294183799
Scoot Henderson,points,CHA,0,10.075394134489224,11.5,0.6250751745717977,0.37492482542820227,0.6250751745717977
Precious Achiuwa,points,BOS,1,5.901284063999059,7.5,0.37541195529587224,0.6245880447041278,0.6245880447041278
Kentavious Caldwell-Pope,points,WAS,0,8.074336611457982,7.5,0.6234015462584743,0.37659845374152573,0.6234015462584743
Chris Paul,rebounds,NOP,1,3.6493865764929656,3.5,0.3790308071285865,0.6209691928714135,0.6209691928714135
Scoot Henderson,rebounds,CHA,0,2.167663469289779,2.5,0.3803893165354155,0.6196106834645845,0.6196106834645845
