Player,Points Mean,Points Std Dev,Points Distribution,Points MSE,Points Params,Rebounds Mean,Rebounds Std Dev,Rebounds Distribution,Rebounds MSE,Rebounds Params,Assists Mean,Assists Std Dev,Assists Distribution,Assists MSE,Assists Params,Total Mean,Total Std Dev,Total Distribution,Total MSE,Total Params
Scottie Barnes,19.766666666666666,5.846271366340164,norm,423.6215348251943,"(np.float64(19.766666666666666), np.float64(5.846271366340164))",7.466667238581618,3.5548150944755053,beta,65.99696989800812,"(np.float64(0.9944299232979475), np.float64(0.8477415260704722), np.float64(0.9758778832163785), np.float64(12.024122116783623))",6.0,2.309401076758503,uniform,35.9046875,"(2.0, 8.0)",33.03333333333333,13.033333333333331,expon,1135.7630251282978,"(20.0, 13.033333333333331)"
RJ Barrett,21.234781955401676,6.425528440662885,logistic,497.7103661076679,"(np.float64(21.234781955401676), np.float64(3.542579497691978))",6.950167507997367,2.4155139018374068,beta,48.59989736823557,"(np.float64(0.8603441641073362), np.float64(0.8819027532525071), np.float64(2.999335358696749), np.float64(8.000664641303253))",5.4,3.4000000000000004,expon,35.39633391812785,"(2.0, 3.4000000000000004)",33.53333333333333,16.53333333333333,expon,1183.581145362378,"(17.0, 16.53333333333333)"
Myles Turner,14.0,8.082903768654761,uniform,257.6298044217687,"(0.0, 28.0)",5.966666666666667,5.966666666666667,expon,43.68366306492615,"(0.0, 5.966666666666667)",1.7,1.7,expon,4.045013655039836,"(0.0, 1.7)",17.0,9.814954576223638,uniform,569.8636101499421,"(0.0, 34.0)"
Gradey Dick,13.5,7.794228634059948,uniform,185.69387288523092,"(0.0, 27.0)",3.7,2.7,expon,18.030676398201187,"(1.0, 2.7)",1.0,1.4142135623730951,laplace,4.614790077346484,"(np.float64(1.0), np.float64(1.0))",17.78878093706139,6.7688402483544365,weibull_min,361.94506510548075,"(np.float64(4.181403513144649), np.float64(-7.3271054223435135), np.float64(27.639192169989034))"
Aaron Nesmith,8.857142857142858,8.857142857142858,expon,102.24392353933669,"(0.0, 8.857142857142858)",3.4761904761904763,3.4761904761904763,expon,17.423696498770905,"(0.0, 3.4761904761904763)",1.6006824648192115,0.98946718503966,triang,2.536276440359063,"(np.float64(0.9999999811066105), np.float64(-1.1979533603932198), np.float64(4.197953777475435))",13.034113766186767,6.681087739406497,beta,220.18998262850272,"(np.float64(0.8553386649315992), np.float64(1.1333123385721102), np.float64(2.9999999999999996), np.float64(23.329180859599553))"
Tyrese Haliburton,16.5,9.526279441628825,uniform,416.7049586776859,"(0.0, 33.0)",3.6,2.6,expon,15.650547830188012,"(1.0, 2.6)",8.933333333333334,4.933333333333334,expon,86.03448814661918,"(4.0, 4.933333333333334)",31.166666666666668,23.166666666666668,expon,1070.12066169475,"(8.0, 23.166666666666668)"
Pascal Siakam,20.515871818468494,5.0346623597657425,logistic,464.1181132084633,"(np.float64(20.515871818468494), np.float64(2.77575483763132))",8.067780002205895,3.243260670837607,weibull_min,70.18301423423807,"(np.float64(0.9463266248311281), np.float64(4.999999999999999), np.float64(2.992022562519505))",3.0,1.93275853524323,laplace,12.632096929888466,"(np.float64(3.0), np.float64(1.3666666666666667))",32.03333333333333,10.033333333333331,expon,1064.6968135939342,"(22.0, 10.033333333333331)"
Immanuel Quickley,14.0,7.4432292756478695,laplace,282.56625678909415,"(np.float64(14.0), np.float64(5.2631578947368425))",3.210526315789474,3.210526315789474,expon,14.712018728407074,"(0.0, 3.210526315789474)",5.0172682964906095,3.1131076052084534,gamma,41.81616989353455,"(np.float64(0.9393762896380082), np.float64(1.9999999999999998), np.float64(3.2119911155659717))",24.49918519923498,10.202620038954835,gamma,626.3598991617268,"(np.float64(0.8668606386238085), np.float64(14.999999999999996), np.float64(10.958145722610602))"
Andrew Nembhard,12.5,6.06217782649107,uniform,153.03340891912322,"(2.0, 21.0)",3.6333333333333333,3.6333333333333333,expon,17.948027176255053,"(0.0, 3.6333333333333333)",6.075737836904038,2.0677875870717775,triang,28.67472737641687,"(np.float64(0.9999942731809492), np.float64(0.22715133748867877), np.float64(8.772904869542407))",19.539061782990963,7.232262054565269,t,442.4895827050049,"(np.float64(9.584705698827563), np.float64(19.539061782990963), np.float64(6.433601098016615))"
Jayson Tatum,23.749306585040607,7.130671892013422,beta,688.9750465874073,"(np.float64(0.884843289610185), np.float64(2.687055044317305), np.float64(14.999999999999998), np.float64(35.31883439823021))",8.433333333333334,4.433333333333334,expon,80.09841727058397,"(4.0, 4.433333333333334)",6.0,2.8867513459481287,uniform,44.096999999999994,"(1.0, 10.0)",39.766666650772095,14.766667196947267,pareto,1665.2818207174205,"(np.float64(36356947.330967285), np.float64(-536870887.0), np.float64(536870911.99999994))"
Tobias Harris,13.58813568663069,7.000912347606567,beta,213.01086313018592,"(np.float64(1.1002914066874598), np.float64(0.8303970332459549), np.float64(-0.2077768382673968), np.float64(24.2077768382674))",4.9504372520988165,2.6759495547526746,beta,30.78538766395089,"(np.float64(0.9808155580312502), np.float64(1.6209410184701758), np.float64(0.9999999999999906), np.float64(10.479112017080045))",2.1333333333333333,2.1333333333333333,expon,5.786391964750157,"(0.0, 2.1333333333333333)",19.999033232114694,9.62151162319155,beta,501.1462640414009,"(np.float64(0.7160910110050593), np.float64(0.7157800091702595), np.float64(4.99154864013705), np.float64(30.008451359862953))"
Jalen Duren,12.873743558810133,4.478066920612493,invgauss,184.18602591308826,"(np.float64(0.016931133988605587), np.float64(-21.541239183958517), np.float64(2032.6448757613898))",12.0,4.041451884327381,uniform,137.1739795918367,"(5.0, 14.0)",2.9959579592530305,1.715619020253667,triang,11.293634694527457,"(np.float64(0.3183850493767022), np.float64(-0.6189869122892997), np.float64(8.225847691275128))",28.369267186202883,14.583234241297301,chi2,747.9495261333116,"(np.float64(1.6808830506519092), np.float64(14.999999999999998), np.float64(7.953716459344262))"
Malik Beasley,16.592938150890532,7.314734486361137,weibull_min,329.12807800739375,"(np.float64(3.8414917102616783), np.float64(-8.544933172686836), np.float64(27.79705854138973))",2.6,2.6,expon,9.424717895220587,"(0.0, 2.6)",,,cauchy,3.483118817706688,"(np.float64(1.0358752559812265), np.float64(0.4223320225064526))",20.66347536245039,8.148107487465026,weibull_min,493.3765308492141,"(np.float64(3.9625495426700077), np.float64(-8.134441684942084), np.float64(31.788639532428))"
Cade Cunningham,27.533333333333335,14.533333333333335,expon,813.8859236177512,"(13.0, 14.533333333333335)",5.598343527355644,2.729637474360972,beta,33.557944576938986,"(np.float64(0.960345409632487), np.float64(0.8793751756652419), np.float64(0.7913957020598599), np.float64(9.208604297940141))",8.830307719480603,3.512753366707779,beta,93.24254421326665,"(np.float64(0.8855311762292208), np.float64(1.660882927409834), np.float64(3.9999999999999996), np.float64(13.889927347536037))",42.2,19.200000000000003,expon,1851.5710190787747,"(23.0, 19.200000000000003)"
Derrick White,15.29038852689682,7.143208876364393,beta,261.82586685146083,"(np.float64(0.8447245571596363), np.float64(0.7365560792205457), np.float64(2.9999999999999996), np.float64(23.006971001907715))",4.1,4.1,expon,21.823490547675384,"(0.0, 4.1)",3.8333333333333335,2.8333333333333335,expon,18.473103773730244,"(1.0, 2.8333333333333335)",21.0,8.082903768654761,uniform,599.5366921768707,"(7.0, 28.0)"
Ausar Thompson,10.966539361158349,11.207556922894558,chi2,124.65738843514967,"(np.float64(1.9149052617773465), np.float64(-2.8081252244617914e-27), np.float64(5.726935728914128))",5.5,2.598076211353316,uniform,33.555967078189305,"(1.0, 9.0)",3.5,2.0207259421636903,uniform,7.757823129251701,"(0.0, 7.0)",18.148930147413747,7.24518797060975,beta,353.66282876414624,"(np.float64(0.9608182901417053), np.float64(1.01786020937634), np.float64(5.999999999999999), np.float64(25.019118725652945))"
Jrue Holiday,12.5,6.06217782649107,uniform,128.24769463340894,"(2.0, 21.0)",4.5,2.0207259421636903,uniform,23.324489795918364,"(1.0, 7.0)",3.6325487844497335,1.9449696706656543,triang,16.647828225407938,"(np.float64(0.3997563348145089), np.float64(-0.7837610675082107), np.float64(9.465168491364274))",18.12422319586397,5.790878396853499,triang,359.9657848966819,"(np.float64(0.33172052593862766), np.float64(5.762073316862656), np.float64(27.848522955568733))"
Tim Hardaway Jr.,15.0,6.928203230275509,uniform,163.66811342592595,"(3.0, 24.0)",3.0,1.7320508075688772,uniform,7.606481481481482,"(0.0, 6.0)",2.0,1.1547005383792515,uniform,3.8604166666666666,"(0.0, 4.0)",15.978206751959355,6.56589567189071,beta,243.06559728170322,"(np.float64(0.8373897088507425), np.float64(1.4903341363423785), np.float64(6.999999999999999), np.float64(24.95706087944616))"
Anfernee Simons,19.570369012821565,7.9120859847011475,weibull_min,444.5674500074177,"(np.float64(5.7961540137290815), np.float64(-19.982238687106523), np.float64(42.71635374685644))",2.8333333333333335,2.8333333333333335,expon,9.70372937284279,"(0.0, 2.8333333333333335)",5.2,3.2,expon,30.478046969037997,"(2.0, 3.2)",27.566666666666666,21.566666666666666,expon,839.5134673844634,"(6.0, 21.566666666666666)"
Khris Middleton,11.0,6.350852961085883,uniform,198.43826446280988,"(0.0, 22.0)",3.5,2.0207259421636903,uniform,16.297959183673466,"(0.0, 7.0)",5.442564484817765,1.8083917465523167,triang,22.739148626408042,"(np.float64(0.9999958351069833), np.float64(0.32766021673532675), np.float64(7.6723723794287295))",17.83579739155376,16.483877201831586,chi2,476.1091119261889,"(np.float64(1.8458275669978925), np.float64(1.9999999999999996), np.float64(8.579239835121523))"
Jerami Grant,12.846963279128245,7.655963470270633,beta,220.63333854178225,"(np.float64(0.9647691093974442), np.float64(1.8181830432161945), np.float64(1.9999999999999998), np.float64(31.28891619034565))",3.433333333333333,3.433333333333333,expon,15.7904106255925,"(0.0, 3.433333333333333)",2.3,2.3,expon,7.1526936078629655,"(0.0, 2.3)",17.370116167105245,8.326885921305296,beta,407.16511237542767,"(np.float64(0.8731027356221476), np.float64(1.6495865966303658), np.float64(5.999999999999999), np.float64(32.85211417965536))"
Marcus Smart,9.0,6.9363808059251815,laplace,112.4478805330467,"(np.float64(9.0), np.float64(4.904761904761905))",2.5,1.4433756729740643,uniform,7.0685714285714285,"(0.0, 5.0)",3.5238095238095237,2.5238095238095237,expon,16.258579451700967,"(1.0, 2.5238095238095237)",13.476560639508907,8.344299091643947,beta,263.66778154107453,"(np.float64(0.9206526503151657), np.float64(1.8210452824860168), np.float64(1.9999999999999998), np.float64(34.177127030740124))"
