Player,Stat Type,EV_over,EV_under
D'Angelo Russell,Assists,-0.999980220210673,1.939980884784636
Quentin Grimes,Points,-0.9999969382408471,1.9399970300818585
Quentin Grimes,Pts + Rebs + Asts,-0.9999983546905378,1.939998415740324
Quentin Grimes,Assists,-0.9999259130125574,1.9399283390947675
Quentin Grimes,Rebounds,-0.9999998198674995,1.9399998252847068
Justin Edwards,Points,-0.999881660669489,1.9398855614980857
Justin Edwards,Pts + Rebs + Asts,-0.9998269255156629,1.9398326331959106
Justin Edwards,Assists,-0.9998205830619554,1.9398264996233046
Justin Edwards,Rebounds,-0.9999707835497247,1.9399717653879633
Ziaire Williams,Points,-0.9999651802045264,1.939966339783641
Ziaire Williams,Pts + Rebs + Asts,-0.9999776620807643,1.9399784209887183
Ziaire Williams,Assists,-0.9999101379555941,1.9399130881145539
Ziaire Williams,1Q Points,-0.9998632245931367,1.9398677098708867
Damian Lillard,Points,-0.9999760329313357,1.9399768446506278
Damian Lillard,Pts + Rebs + Asts,-0.9999210528094409,1.9399236234359705
Damian Lillard,1Q Points,-0.9999282368687272,1.9399306016355695
Damian Lillard,Rebounds,-0.999986431121506,1.939986867460393
Kyle Kuzma,Points,-0.9999072598329803,1.9399102946293714
Kyle Kuzma,Pts + Rebs + Asts,-0.9999935325635397,1.939993718746291
Kyle Kuzma,1Q Points,-0.999907641001846,1.9399106543069502
Kyle Kuzma,1Q Pts + Rebs + Asts,-0.9998606714773632,1.9398652485328785
Brook Lopez,Points,-0.9999860468254156,1.9399865062498611
Brook Lopez,Pts + Rebs + Asts,-0.9999583593726856,1.939959712466807
Brook Lopez,Assists,-0.9999554758231171,1.9399569163213528
Brook Lopez,1Q Points,-0.9998158663373033,1.939821940712136
Bobby Portis,Points,-0.9999961967025002,1.939996320922478
Bobby Portis,Pts + Rebs + Asts,-0.9999347721425874,1.9399369161429059
Bobby Portis,Assists,-0.9996715255538584,1.9396823126330855
Bobby Portis,1Q Pts + Rebs + Asts,-0.9999408743751701,1.9399428455450105
Taurean Prince,Points,-0.9999530351844441,1.9399545965342258
Taurean Prince,Pts + Rebs + Asts,-0.9999956188146553,1.9399957783989794
Taurean Prince,1Q Points,-0.9999954458854518,1.9399956072147142
Taurean Prince,Assists,-0.9999941959878288,1.939994389614467
Andre Jackson Jr.,Points,-0.9999068364841515,1.9399099142753402
Andre Jackson Jr.,Pts + Rebs + Asts,-0.9999844463794761,1.9399849439821082
Andre Jackson Jr.,Rebounds,-0.9999980601503671,1.939998098527792
Andre Jackson Jr.,1Q Points,-0.9999660781817874,1.9399672120438116
Anthony Edwards,Points,-0.9999596155011022,1.939960933121365
Anthony Edwards,Pts + Rebs + Asts,-0.9998837020141945,1.9398875127227801
Anthony Edwards,1Q Pts + Rebs + Asts,-0.9999992515748124,1.939999287464717
Anthony Edwards,Rebounds,-0.9999515691200941,1.9399531865548487
Rudy Gobert,Points,-0.9999739303177193,1.9399747769771056
Rudy Gobert,Pts + Rebs + Asts,-0.9999442302979878,1.9399460460760747
Rudy Gobert,Assists,-0.9998723804541805,1.9398766052054996
Rudy Gobert,1Q Pts + Rebs + Asts,-0.9999458602313098,1.939947622798427
Jaden McDaniels,Points,-0.9999553732119238,1.9399568660217483
Jaden McDaniels,Pts + Rebs + Asts,-0.9999671815047987,1.9399682713787114
Jaden McDaniels,Assists,-0.9999660594499801,1.939967202861553
Jaden McDaniels,1Q Points,-0.9999603586190642,1.9399616430550668
Mike Conley,Points,-0.9998202966764802,1.9398261864081723
Mike Conley,Pts + Rebs + Asts,-0.9999835234233797,1.9399840594774105
Mike Conley,Assists,-0.9998394661764906,1.9398447432169632
Mike Conley,1Q Points,-0.9999818778706322,1.939982475098477
Naz Reid,Points,-0.9999864684682325,1.939986885767612
Naz Reid,Pts + Rebs + Asts,-0.9999950829752743,1.939995256487473
Naz Reid,1Q Points,-0.9998990470726858,1.9399023800893338
Naz Reid,1Q Pts + Rebs + Asts,-0.9999361854253948,1.9399383002489776
Shai Gilgeous-Alexander,Points,-0.9999967192739041,1.939996836330074
Shai Gilgeous-Alexander,Pts + Rebs + Asts,-0.999934733554619,1.939936897227235
Shai Gilgeous-Alexander,Assists,-0.9999500218768662,1.9399516503668564
Shai Gilgeous-Alexander,1Q Pts + Rebs + Asts,-0.9999600061843011,1.9399612974628326
Andrew Wiggins,Points,-0.9998184397211298,1.9398244119854644
Andrew Wiggins,Pts + Rebs + Asts,-0.9999891570978343,1.9399894999490153
Andrew Wiggins,Assists,-0.9999997619606878,1.9399997968990148
Andrew Wiggins,1Q Points,-0.9998909319344966,1.9398945134032692
Tyler Herro,Points,-0.9999081821434084,1.9399111788175651
Tyler Herro,Pts + Rebs + Asts,-0.9999991270797898,1.9399991400226975
Tyler Herro,Rebounds,-0.9999982030385922,1.9399982549860875
Tyler Herro,Assists,-0.9999958565755606,1.9399959813634904
Lu Dort,Points,-0.9997945581571548,1.9398012985501554
Lu Dort,Pts + Rebs + Asts,-0.9999630496490499,1.9399642584131287
Lu Dort,Rebounds,-0.9999913218250367,1.9399915980703735
Lu Dort,Assists,-0.9999977896311794,1.9399978795052992
Davion Mitchell,Points,-0.9999987854626409,1.9399987997332153
Davion Mitchell,Pts + Rebs + Asts,-0.9999998230435727,1.9399998268416054
Davion Mitchell,Assists,-0.9999632547443252,1.9399644453650762
Davion Mitchell,Rebounds,-0.9999950592161122,1.9399952448408249
Isaiah Joe,Points,-0.9999514116855426,1.9399530229660011
Isaiah Joe,Pts + Rebs + Asts,-0.9998666505997243,1.9398710311717877
Isaiah Joe,Rebounds,-0.9999617900937665,1.939963036078734
Isaiah Joe,Assists,-0.9999931273027051,1.9399933472589237
Isaiah Hartenstein,Points,-0.9998132373267435,1.9398193557557533
Isaiah Hartenstein,Pts + Rebs + Asts,-0.9999714138621857,1.9399723336098031
Isaiah Hartenstein,1Q Points,-0.9998434557486325,1.939848600020632
Isaiah Hartenstein,Assists,-0.9999000348479603,1.9399032963681384
Bam Adebayo,Points,-0.99995883235355,1.9399602035653152
Bam Adebayo,Pts + Rebs + Asts,-0.9999631641856104,1.9399644009735493
Bam Adebayo,1Q Points,-0.9999985128355797,1.9399985796774513
Bam Adebayo,1Q Pts + Rebs + Asts,-0.999977891619601,1.9399786199228037
Jalen Williams,Points,-0.9999371156508278,1.9399391883170756
Jalen Williams,Pts + Rebs + Asts,-0.999999877353186,1.9399998534639649
Jalen Williams,1Q Points,-0.9997618488810258,1.9397697098826756
Jalen Williams,Assists,-0.9999969520703053,1.9399970368610047
Alex Caruso,Points,-0.9999782202453389,1.9399789538439471
Alex Caruso,Pts + Rebs + Asts,-0.9999905450618098,1.939990871643895
Alex Caruso,Assists,-0.9998124720278428,1.9398186349490425
Alex Caruso,1Q Points,-0.9999574537921216,1.9399588364795273
Jaylin Williams,Points,-0.9999719275236566,1.8299748627013832
Jaylin Williams,Pts + Rebs + Asts,-0.9999960658225063,1.829996467504634
Jaylin Williams,Assists,-0.9999989198636399,1.8299990110463284
Jaylin Williams,Rebounds,-0.9999641778470686,1.8299679341361117
Aaron Wiggins,Points,-0.9999996867739577,1.8299996920244295
Aaron Wiggins,Pts + Rebs + Asts,-0.9999779301781746,1.8299802491243282
Aaron Wiggins,Assists,-0.9999921259209259,1.8299929323592279
Aaron Wiggins,Rebounds,-0.9999732537028467,1.8299760470455295
Kel'el Ware,Points,-0.9997863514279015,1.829808688311605
Kel'el Ware,Pts + Rebs + Asts,-0.9999810362898642,1.8299829908471112
Kel'el Ware,Assists,-0.9999945152176315,1.8299950977779509
Kel'el Ware,1Q Points,-0.9999954440354668,1.8299959351949928
